company_id,ticker,metric,value,unit,currency,period_end,fiscal_year,fiscal_period,estimate_kind,analyst_count,source_record_id,template_status
company:US-CIK0000909832,COST,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001341439,ORCL,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001341439,ORCL,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001341439,ORCL,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001065280,NFLX,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001065280,NFLX,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001065280,NFLX,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000354950,HD,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000354950,HD,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000354950,HD,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000080424,PG,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000080424,PG,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000080424,PG,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000200406,JNJ,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000200406,JNJ,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000200406,JNJ,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001551152,ABBV,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001551152,ABBV,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001551152,ABBV,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000070858,BAC,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000070858,BAC,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000070858,BAC,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000021344,KO,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000021344,KO,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000021344,KO,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001108524,CRM,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001108524,CRM,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0001108524,CRM,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000093410,CVX,revenue,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000093410,CVX,net_income,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
company:US-CIK0000093410,CVX,diluted_eps,,currency,USD,2027-12-31,2027,FY,consensus_mean,,,pending
